Districts,Town,Latitude,Longitude
Bin Qasim Town,Abdullah Goth,24.86654,67.2836719
Bin Qasim Town,Cattle Colony,24.8793108,67.1987233
Bin Qasim Town,Green Park City,24.8576588,67.2224746
Bin Qasim Town,Gulshan-e-Hadeed,24.869998799999998,67.36005178758305
Bin Qasim Town,Ibrahim Hyderi,24.79160805,67.14091644916715
Bin Qasim Town,Landhi Colony,24.8520926,67.1864717
Bin Qasim Town,Mujahid Colony,24.9005091,67.103604
Bin Qasim Town,Quaidabad,24.8577656,67.214141
Bin Qasim Town,Razzaqabad,24.8669113,67.2945157
Bin Qasim Town,Rehri Goth,24.8158871,67.2281223
Bin Qasim Town,Shah Latif Town,24.8491599,67.26800758321846
Bin Qasim Town,Sherpao Colony,24.8356622,67.2094289
Bin Qasim Town,Steel Town,24.86938695,67.33655936165295
Gulshan Town,Sindh Baloch Cooperative Housing Society,24.9146011,67.1412421
Gulshan Town,Essa Nagri,24.90253,67.0663842
Gulshan Town,Gulshan-e-Iqbal I,24.92296745,67.0919663039582
Gulshan Town,Gulshan-e-Iqbal II,24.9066464,67.0819947
Gulshan Town,Gulzar-e-Hijri,24.9488275,67.0886609
Gulshan Town,Gulistan-e-Johar,24.92183405,67.13078987171744
Gulshan Town,Abbas Town,25.0021869,67.0691556
Gulshan Town,Jamali Colony,24.9141008,67.0799482
Gulshan Town,Metroville Colony,24.9232505,66.9977742
Gulshan Town,Pehlwan Goth,24.9232712,67.1481746
Gulshan Town,Safoora Goth,24.9392946,67.1561264
Gulshan Town,Shanti Nagar,24.9036235,67.0987961
Gulshan Town,Sachal Goth,24.9506569,67.1288595
Gulshan Town,KESC Society,24.9431913,67.18454525405016
Jamshed Town,Abyssinia Lines,24.8617961,67.0501817
Jamshed Town,Akhtar Colony,24.9043313,67.009942
Jamshed Town,Azam Basti,24.8481043,67.0746834
Jamshed Town,Baloch Colony,24.9520574,67.0195505
Jamshed Town,Baltistani Society,24.8630095,67.0484872
Jamshed Town,Catholic Colony No. 1,24.8763903,67.0365696
Jamshed Town,Central Jacob Lines,24.868189,67.0357939
Jamshed Town,Chanesar Goth,24.8509815,67.0585428
Jamshed Town,Defence View,25.1446897,67.1847767315734
Jamshed Town,Garden East,24.8819943,67.0309179
Jamshed Town,Garden West,24.8802643,67.0203142
Jamshed Town,Gulistan-e-Zafar,24.8545378,67.0591163
Jamshed Town,Jamshed Quarters,24.8835176,67.0422356
Jamshed Town,Mahmudabad,24.839311100000003,67.03193911928142
Jamshed Town,Manzoor Colony,24.8589765,67.0891886
Jamshed Town,Nursery,24.9357518,67.0310837
Jamshed Town,Pakistan Quarters,24.98298245,66.99384267778552
Jamshed Town,Patel Para,24.88604,67.0364733
Jamshed Town,Sohrab Katrak Parsi Colony,24.871644,67.03037292731395
Jamshed Town,Soldier Bazaar,24.8755287,67.0313117
Kemari Town,Abdul Rehman Goth,24.85131405,66.82532174365248
Kemari Town,Arbian,24.8569039,66.7932712
Kemari Town,Darvesh Goth,24.8823854,67.1451973
Kemari Town,Goth Lashkari,24.8804148,66.8345916
Kemari Town,Goth Mohammad Ali,24.8543465,67.1369101
Kemari Town,Goth Shaikhan,24.8249286,66.9906446
Kemari Town,Gulshan-e-Sikandarabad,24.821394,67.0024989
Kemari Town,Haji Ali Goth,24.8406009,66.8142188
Kemari Town,Jamali Goth,24.9761701,67.1117814
Kemari Town,Machar Colony,24.8629434,66.9798579
Kemari Town,Maripur,24.8768054,66.8726396
Kemari Town,Masroor Colony,24.894563050000002,66.94502894649662
Kemari Town,Mubarak Goth,24.8512695,66.6611653
Kemari Town,Rais Goth,24.9928516,66.8965714
Kemari Town,Rehman Goth,24.85131405,66.82532174365248
Kemari Town,Salehabad,24.80638635,66.96692885599508
Kemari Town,Sher Shah,24.8843625,66.9872422
Kemari Town,Somar Goth,24.8544061,66.8301957961117
Kemari Town,Sultanabad,24.9866519,67.0335972
Korangi Town,Bilal Colony,24.8478476,67.1342808
Korangi Town,Gulzar Colony,24.8556768,67.1339467
Korangi Town,Hasrat Mohani Colony,24.8816589,67.1755263
Korangi Town,Allahwala Town,24.8275791,67.1143171
Korangi Town,Korangi Sector 33,24.8311077,67.140536
Korangi Town,Nasir Colony,24.8236047,67.1264773
Korangi Town,Zaman Town,24.8362984,67.1527102
Korangi Town,Bhittai Colony,24.8109765,67.1076653
Korangi Town,Qayyumabad,24.8250587,67.080973
Landhi Town,Awami Colony,24.8479849,67.1487227
Landhi Town,Dawood Chowrangi,24.8517693,67.206041
Landhi Town,Korangi,24.82681895,67.12981336814684
Landhi Town,Landhi,24.8351918,67.1774095
Landhi Town,Moinabad,24.8957257,67.1840429
Landhi Town,Muslimabad,24.8777203,67.0497813
Landhi Town,Majeed Colony,24.8347736,67.23663016492898
Landhi Town,Sharafi Goth,24.8559789,67.1722461
Liaquatabad Town,Abbasi Shaheed,24.9202514,67.0288372
Liaquatabad Town,Commercial Area,24.8612166,67.03196055772383
Liaquatabad Town,Dak Khana,24.9000578,67.2095589
Liaquatabad Town,Firdous Colony,24.89621905,67.03416356828734
Liaquatabad Town,Mujahid Colony,24.9005091,67.103604
Liaquatabad Town,Liaquatabad,24.9041397,67.0532763
Liaquatabad Town,Nazimabad,24.9168807,67.0340886303479
Liaquatabad Town,Qasimabad,24.9010049,67.0585391
Liaquatabad Town,Sharifabad,24.911383,67.0537803
Liaquatabad Town,Gharibabad,24.9111787,67.05769963281469
Liaquatabad Town,Super Market,24.9031073,67.03113987695771
Liaquatabad Town,Khamosh Colony,24.9000084,67.03554478899628
Liaquatabad Town,Gulbahar,24.896140350000003,67.02573016847757
Liaquatabad Town,Teen Hatti,24.892516,67.0437025
Liaquatabad Town,Usmania Colony,24.8873287,67.0511351
Liaquatabad Town,Rizvia Society,24.950745,67.1475383
Malir Town,Soomar Kandani Khaskheli Goth,25.121575149999998,67.17642851148219
Malir Town,Gharibabad,24.9111787,67.05769963281469
Malir Town,Ghausia Colony,24.8971219,67.029655
Malir Town,Gulistan-e-Rafi,24.9271869,67.1613047
Malir Town,Gulshan-e-Qadri,24.8740375,67.1783501
Malir Town,Hussainabad,24.914803,67.0579425
Malir Town,Jaffer-e-Tayyar,24.8841642,67.1996064
Malir Town,Jinnah Square,24.90081895,67.15941877702615
Malir Town,Kala Board,24.8823269,67.1823277
Malir Town,Kausar Town,24.856996000000002,66.99639913268027
Malir Town,Khoso goth,24.8950118,67.17408
Malir Town,Jinnah Square,24.90081895,67.15941877702615
Malir Town,Lyari Basti,25.0257938,67.0758377
Malir Town,Memon Goth,24.9907581,67.1168166
Malir Town,Millat Town,24.8729151,67.1712944
Malir Town,Model Colony,24.9068326,67.1894182
Malir Town,Moinabad,24.8957257,67.1840429
Malir Town,Nashtar Square,24.8961935,67.1974239
Malir Town,Pak Kausar Town,24.9066996,67.2072362
Malir Town,Raza plaza,24.933124499999998,66.96345036293144
Malir Town,Salar Goth,24.8370931,67.22236
Malir Town,Saudabad,24.9010045,67.2033252
Malir Town,Taiser Town,25.0552158,67.1006672
Malir Town,Urdu Nagar,24.911134150000002,67.08943130614384
Malir Town,Asu Goth,24.877822,67.198832
Malir Town,Soomar Kandani Village,25.1404798,67.2090948
New Karachi Town,Abu Zar Ghaffari,24.9415622,67.0323689
New Karachi Town,Faisal Colony,24.8810955,67.145214
New Karachi Town,Fatima Jinnah Colony,24.8840063,67.0547165
New Karachi Town,Godhra,24.8242597,67.1300935
New Karachi Town,Gulshan-e-Bahar,24.9773904,66.9912939
New Karachi Town,Gulshan-e-Farooq,24.9662383,67.0495458
New Karachi Town,Madina Colony,24.936624,67.0169211
New Karachi Town,Muslim Town,24.9683418,67.0721977
Shah Faisal Town,Al-Falah Society,24.871030349999998,67.18485075340705
Shah Faisal Town,Azeem Pura,24.8738223,67.1634057
Shah Faisal Town,Drigh Colony,24.8843716,67.1283876
Shah Faisal Town,Golden Town,24.8843486,67.164756
Shah Faisal Town,Green Town,24.8844209,67.1601631
Shah Faisal Town,Gulshan-e-muneer,24.8696798,67.1871350357317
Shah Faisal Town,Kehkashan Society,24.8771421,67.1677316
Shah Faisal Town,Khoso Goth,24.8950118,67.17408
Shah Faisal Town,Natha Khan Goth,24.8848113,67.1361423
Shah Faisal Town,Pak Sadat Colony,24.8797611,67.1333359
Shah Faisal Town,Punjab Town,24.8811874,67.1679291
Shah Faisal Town,Rafah-e-Aam Society,24.881343450000003,67.17575244440884
Shah Faisal Town,Sachal Goth,24.9506569,67.1288595
Shah Faisal Town,Salman Farsi,24.9165163,67.1323818
Shah Faisal Town,Shah Faisal Colony,24.8810955,67.145214
Baldia Town,Afridi Colony,24.9212737,66.9758088
Baldia Town,Bismillah Chowk,24.9282561,66.9673159
Baldia Town,Kumhar Colony,24.8745342,67.0042203
Baldia Town,Delhi Colony,24.8323033,67.0440311
Baldia Town,Dhoraji Colony,24.88726055,67.07702959473183
Baldia Town,Gujrat Colony,24.8546654,67.015398
Baldia Town,Gulshan-e-Ghazi,24.923948,66.9793321
Baldia Town,Ittehad Town,24.9746492,66.9535385
Baldia Town,Muhajir Camp,25.0054256,67.0991474
Baldia Town,Muslim Mujahid Colony,24.9084603,67.1095882
Baldia Town,Nai Abadi,24.9170133,66.9626852
Baldia Town,Naval Colony,24.9467025,66.9382883
Baldia Town,Rasheedabad,24.9046171,66.9718418
Baldia Town,Saeedabad,24.879299,66.999896
Baldia Town,Kumhar colony,24.8745342,67.0042203
SITE Town,Banaras Colony,24.9425872,67.0089316
SITE Town,Chittagong Colony,24.8976666,67.0168412
SITE Town,Frontier Colony,24.9291862,67.0055184
SITE Town,Islamia Colony,24.949673,67.0264511
SITE Town,Golimar,24.8886582,67.023506
SITE Town,Metroville,24.9232505,66.9977742
SITE Town,Old Golimar,24.8853848,67.0143431
SITE Town,Pak Colony,24.9019841,67.0148395
SITE Town,Qasba Colony,24.9456648,67.0265919
SITE Town,Pathan Colony,24.9297723,67.0110312
SITE Town,Qaim Khani,24.9495241,66.9708995
Gulberg Town,Samanabad,24.9396261,67.0749989
Gulberg Town,Aisha Manzil,24.9265667,67.065173
Gulberg Town,Ancholi,24.945702,67.0767095
Gulberg Town,Azizabad,24.9212646,67.0676615
Gulberg Town,Karimabad,24.91915715,67.05935789443514
Gulberg Town,Shafiq Mill Colony,24.9611806,67.0847351
Gulberg Town,Naseerabad,25.1446897,67.1847767315734
Gulberg Town,Water Pump,24.874899,67.1673
Gulberg Town,Yaseenabad,24.91992195,67.07619182712114
Gulberg Town,Dastagir Colony,24.9268557,67.0791821
Gulberg Town,Hussainabad,24.914803,67.0579425
Saddar Town,Shireen Jinnah Colony,24.8173568,66.9957814
Saddar Town,Sikanderabad,24.9065121,67.0564344
Saddar Town,Shah Rasool Colony,24.81133605,67.03515656884638
Saddar Town,Saddar,24.8605712,67.0317372
Saddar Town,Ranchore Line,24.861759499999998,67.01318798850852
Saddar Town,Old Haji Camp,24.8680015,67.0067615
Saddar Town,Narayan Pura,24.8636656,67.0120172
Saddar Town,Nanak Wara,24.8583304,67.0073238
Saddar Town,Millat Nagar,24.8739687,67.0195538
Saddar Town,Kharadar,24.8511574,66.9949796
Saddar Town,Kehkashan,24.9498251,67.1052359
Saddar Town,Kalakot,24.8715418,67.0056189
Saddar Town,Islam Pura,24.856725500000003,67.01434677441407
Saddar Town,Gazdarabad,24.8698072,67.0155221
Saddar Town,Garden,24.8819943,67.0309179
Saddar Town,Civil Lines,24.844097,67.0334903
Saddar Town,City Railway Colony,24.8438677,67.0228739
Saddar Town,Clifton,24.8190552,67.0262397
Saddar Town,Bath Island,24.8352549,67.0281829
North Nazimabad Town,Paposh Nagar,24.92435225,67.01990574659017
North Nazimabad Town,Khandu Goth,24.925028,67.038884
North Nazimabad Town,Hyderi,25.1446897,67.1847767315734
North Nazimabad Town,Pahar Ganj,24.9408,67.0278597
North Nazimabad Town,Farooq e Azam,24.87789475,67.02070790845661
North Nazimabad Town,Nusrat Bhutto Colony,24.9627879,67.0460277
North Nazimabad Town,Sakhi Hassan,24.95390815,67.05756298059234
North Nazimabad Town,Shadman,24.961012,67.0501852
North Nazimabad Town,Bufferzone,24.95129,67.0615566
